calendar, Add Member, singleValueExtendedProperties, true, singleValueLegacyExtendedProperty, , true 
calendar, Add Member, multiValueExtendedProperties, true, multiValueLegacyExtendedProperty, , true 
contact, Remove Member, mobilePhone1, false, string, , false 
contact, Add Member, mobilePhone, false, string, , false 
contact, Add Member, flag, false, followupFlag, , false 
contact, Add Member, singleValueExtendedProperties, true, singleValueLegacyExtendedProperty, , true 
contact, Add Member, multiValueExtendedProperties, true, multiValueLegacyExtendedProperty, , true 
contactfolder, Add Member, singleValueExtendedProperties, true, singleValueLegacyExtendedProperty, , true 
contactfolder, Add Member, multiValueExtendedProperties, true, multiValueLegacyExtendedProperty, , true 
drive, Remove Member, shared, true, driveItem, , true 
drive, Add API, recent 
drive, Add API, sharedWithMe 
drive, Remove API, allPhotos 
driveitem, Remove Member, openWith, false, openWithSet, , false 
driveitem, Remove Member, versions, true, driveItem, , true 
driveitem, Add Member, remoteItem, false, remoteItem, , false 
driveitem, Add Member, workbook, true, workbook, , true 
driveitem, Add API, delta 
driveitem, Add API, delta 
driveitem, Remove API, allPhotos 
event, Add Member, onlineMeetingUrl, false, string, , false 
event, Add Member, singleValueExtendedProperties, true, singleValueLegacyExtendedProperty, , true 
event, Add Member, multiValueExtendedProperties, true, multiValueLegacyExtendedProperty, , true 
event, Add API, cancel 
eventmessage, Add Member, startDateTime, false, dateTimeTimeZone, , false 
eventmessage, Add Member, endDateTime, false, dateTimeTimeZone, , false 
eventmessage, Add Member, location, false, location, , false 
eventmessage, Add Member, type, false, string, eventType, false 
eventmessage, Add Member, recurrence, false, patternedRecurrence, , false 
eventmessage, Add Member, isOutOfDate, false, boolean, , false 
eventmessage, Add Member, internetMessageId, false, string, , false 
eventmessage, Add Member, conversationIndex, false, binary, , false 
eventmessage, Add Member, unsubscribeData, false, string, , false 
eventmessage, Add Member, unsubscribeEnabled, false, boolean, , false 
eventmessage, Add Member, flag, false, followupFlag, , false 
eventmessage, Add Member, singleValueExtendedProperties, true, singleValueLegacyExtendedProperty, , true 
eventmessage, Add Member, multiValueExtendedProperties, true, multiValueLegacyExtendedProperty, , true 
eventmessage, Add API, unsubscribe 
group, Add Member, settings, true, directorySetting, , true 
location, Add Member, locationUri, false, string, , false 
mailfolder, Add Member, wellKnownName, false, string, , false 
mailfolder, Add Member, userConfigurations, true, userConfiguration, , true 
mailfolder, Add Member, singleValueExtendedProperties, true, singleValueLegacyExtendedProperty, , true 
mailfolder, Add Member, multiValueExtendedProperties, true, multiValueLegacyExtendedProperty, , true 
meetingtimecandidate, Add Member, suggestionHint, false, string, , false 
message, Add Member, internetMessageId, false, string, , false 
message, Add Member, conversationIndex, false, binary, , false 
message, Add Member, unsubscribeData, false, string, , false 
message, Add Member, unsubscribeEnabled, false, boolean, , false 
message, Add Member, flag, false, followupFlag, , false 
message, Add Member, singleValueExtendedProperties, true, singleValueLegacyExtendedProperty, , true 
message, Add Member, multiValueExtendedProperties, true, multiValueLegacyExtendedProperty, , true 
message, Add API, unsubscribe 
person, Remove Member, emailAddresses, false, email, , false 
person, Add Member, birthday, false, string, , false 
person, Add Member, personNotes, false, string, , false 
person, Add Member, isFavorite, false, boolean, , false 
person, Add Member, emailAddresses, false, rankedEmailAddress, , false 
person, Add Member, phones, false, phone, , false 
person, Add Member, postalAddresses, false, location, , false 
person, Add Member, webSites, false, webSite, , false 
person, Add Member, yomiCompany, false, string, , false 
person, Add Member, department, false, string, , false 
person, Add Member, profession, false, string, , false 
person, Add Member, mailboxType, false, string, , false 
person, Add Member, personType, false, string, , false 
physicaladdress, Add Member, type, false, String, physicalAddressType, false 
physicaladdress, Add Member, postOfficeBox, false, string, , false 
post, Add Member, singleValueExtendedProperties, true, singleValueLegacyExtendedProperty, , true 
post, Add Member, multiValueExtendedProperties, true, multiValueLegacyExtendedProperty, , true 
referenceattachment, Add Member, sourceUrl, false, string, , false 
referenceattachment, Add Member, providerType, false, string, referenceAttachmentProvider, false 
referenceattachment, Add Member, thumbnailUrl, false, string, , false 
referenceattachment, Add Member, previewUrl, false, string, , false 
referenceattachment, Add Member, permission, false, string, referenceAttachmentPermission, false 
referenceattachment, Add Member, isFolder, false, boolean, , false 
sharinginvitation, Add Member, invitedBy, false, identitySet, , false 
subscription, Remove Member, subscriptionId, false, string, , true 
subscription, Remove Member, subscriptionExpirationDateTime, false, dateTimeOffset, , false 
subscription, Add Member, id, false, string, , true 
subscription, Add Member, expirationDateTime, false, dateTimeOffset, , false 
user, Add Member, mailboxSettings, false, mailboxSettings, , false 
